team,attack,defense
Germany,1.5950723245271132,-0.9131485041321401
Spain,1.5858681178060463,-1.3153832640623442
Netherlands,1.5224624595015337,-1.0037133318549147
Brazil,1.493596574836844,-1.0320661947636605
France,1.4867482926688291,-1.1345582729271808
Norway,1.4666230073520008,-0.958465297322891
Portugal,1.4638904651303362,-1.0918411251627889
Colombia,1.4093524307550453,-1.0311710514369534
Argentina,1.376021125751012,-1.771561257790568
England,1.3690493488862412,-1.3555370066432666
Basque Country,1.349990688379644,-1.2237530252388256
Belgium,1.3177204103642333,-1.033600269416125
Switzerland,1.315692166563546,-0.914473197039068
Japan,1.2844269599248128,-1.244062155898349
Sweden,1.2801515467136535,-0.4196257587738609
Denmark,1.264694504242324,-0.9998311849421494
Croatia,1.2326690686424584,-0.8628036981511378
Italy,1.1965355884279802,-0.9316347094390952
Turkey,1.1823818371895638,-0.6760785799019139
United States,1.1717438053765254,-0.663867725833983
Austria,1.1581766612697204,-1.0247973545119602
Elba Island,1.1037149629319944,-0.24808968372823573
Algeria,1.0742386361343808,-0.8420382756061232
Székely Land,1.0414420282959211,-0.062320180539855156
Morocco,1.02907646228545,-1.549295636626088
Senegal,1.0283986335245623,-0.8725612381716726
Czech Republic,1.0269530804391822,-0.6032256602073253
Greece,1.0160969980256138,-0.9151930352793629
Isle of Man,1.0051598854135584,-0.008067354110758311
Scotland,0.9958481879624994,-0.7846822767515254
Chile,0.9912609879662968,-0.5973813176456919
Poland,0.9892980921487591,-0.6123850542307927
Israel,0.9730138147822299,-0.32332951344035815
Ukraine,0.95976778297571,-0.5925541003176588
Iran,0.9525018739481769,-0.808686500565329
Mexico,0.9514202221248175,-1.0700511875316674
South Korea,0.9421664303391306,-0.7068729912310101
Nigeria,0.932854569807812,-0.6522263269412278
Canada,0.931259731562986,-0.9837533659370968
Georgia,0.9255155167336107,-0.5601727694452983
Australia,0.893854211854132,-0.9698743068787591
Kosovo,0.8936624670023251,-0.6763554048657915
Russia,0.8871275804300512,-1.0290685259677281
Jersey,0.8787632312266775,-0.13459162358598295
Uruguay,0.8673926768585518,-1.110971972775337
Hungary,0.8549667043999916,-0.7156899895996133
Paraguay,0.836290831514152,-0.8854702246757404
Venezuela,0.8333221084403722,-0.6205872975006058
Iceland,0.8290019384939749,-0.32034816265088767
Serbia,0.818935517071247,-0.5751801498373361
East Turkestan,0.8018914941344845,0.9529878630461746
Jordan,0.7936110153198378,-0.28262002670180225
Wales,0.7715402397359034,-0.5862139244646715
Ivory Coast,0.7694630763497796,-0.9979884030240646
Romania,0.7684719490833313,-0.6396320789182581
Slovakia,0.7674961309052798,-0.5901959657064895
Burkina Faso,0.7224184628895773,-0.2937862907797265
Ecuador,0.7165254969225018,-1.454058027149602
Egypt,0.7111923030690541,-0.9209439192917562
Hmong,0.6566702008418374,0.860758679525544
Panama,0.6512152195361134,-0.27970364294391264
Republic of Ireland,0.64310336442517,-0.7973993466212332
Bosnia and Herzegovina,0.6315618445839366,-0.4524336379804564
Uzbekistan,0.6249108421269901,-0.7486858715800757
Northern Ireland,0.6112943210491407,-0.6622867777416684
Finland,0.6108608594629141,-0.4051242285853363
Belarus,0.6043584948817878,-0.20418518371972333
Slovenia,0.5967773144348624,-0.8622411831805409
Tunisia,0.5840688645310533,-0.5309240277026523
